knn_mean,knn_std,adaptive_mean,adaptive_std,biclique_mean,biclique_std,pcan_mean,pcan_std
,,20.1995,0.40585030945437306,,,,
,,24.791400000000003,0.41691907582824056,,,,
,,76.5009,1.6336315986170202,,,,
,,75.6887,2.096321316773242,,,,
,,57.118999999999986,2.077967714994967,,,,
,,55.23866666666667,1.94870556827163,,,,
,,57.48408333333333,3.0758695568410817,,,,
,,58.604083333333335,3.4759003829543547,,,,
,,71.85316666666667,2.9910183728009345,,,,
,,94.17350000000002,5.462548269488445,,,,
,,91.11933333333333,7.29803997960135,,,,
,,87.28766666666665,7.343287988328673,,,,
