dataset,r,mean,std
CIFAR_simclr_pca,8,77.26006000000007,1.641992124761193
CIFAR_simclr_pca,12,77.03396000000004,1.7444662748939634
CIFAR_simclr_pca,10,77.02732,1.9386677341500127
CIFAR_simclr_pca,16,76.98438,1.9620715849954289
CIFAR_simclr_pca,6,76.91489999999997,1.310060292389999
CIFAR_simclr_pca,14,77.35551999999997,1.1968575392639378
CIFAR_simclr_pca,18,77.05355999999998,1.6446414629998176
CIFAR_simclr_pca,20,77.24094000000002,1.5832106607661651
CIFAR_simclr_pca,4,75.9721,1.7276144438695415
FMNIST_vae,4,54.40896666666667,2.613373678869835
FMNIST_simclr_pca,16,59.20286666666665,2.403786716179268
FMNIST_vae,10,53.516316666666654,2.487795725107936
FMNIST_simclr_pca,6,59.66151666666665,2.4246538172030285
FMNIST_simclr_pca,18,59.13264999999996,2.505919211386415
FMNIST_simclr_pca,4,60.264183333333314,2.4080827872307724
FMNIST_simclr_pca,10,59.75544999999999,2.340675327921568
FMNIST_simclr_pca,14,59.56296666666665,2.2473756309775097
CIFAR_vae,4,24.59066,0.2602185646992568
MNIST_simclr_pca,4,95.66836666666656,0.8877144381394603
CIFAR_vae,16,24.947340000000004,0.3083673599570299
FMNIST_vae,12,53.76189999999997,2.360768757354574
FMNIST_vae,14,53.52118333333334,2.520595994837713
FMNIST_simclr_pca,12,59.038250000000026,2.529034878610383
MNIST_vae,12,80.66871666666668,4.942115941642785
CIFAR_vae,12,24.90366,0.2730473085882242
MNIST_vae,4,80.00216666666665,5.006342097308792
CIFAR_vae,10,24.763120000000004,0.3589707306376744
FMNIST_vae,20,53.30210000000001,2.2631413665782896
FMNIST_vae,18,52.960616666666674,2.3442297600853004
MNIST_vae,6,80.23578333333329,4.899993944286094
FMNIST_simclr_pca,20,57.78869999999998,2.6985878127162204
FMNIST_vae,8,53.679850000000016,2.5190866026654164
FMNIST_vae,6,53.718216666666656,2.373569724151716
MNIST_vae,10,78.96513333333334,4.255745114590294
FMNIST_vae,16,53.29768333333333,2.7997829591105274
CIFAR_vae,8,24.77986,0.3443103198622375
MNIST_vae,16,80.0798,4.564655596160575
CIFAR_vae,6,24.651919999999983,0.2544779437169051
CIFAR_vae,14,24.9212,0.2887288756538973
MNIST_simclr_pca,18,87.93828333333335,4.453975169068402
MNIST_vae,14,80.48853333333328,4.853447918089025
CIFAR_vae,20,24.986260000000005,0.3022470265370776
MNIST_simclr_pca,8,87.49038333333334,5.696231647874882
MNIST_simclr_pca,12,88.33801666666672,4.714741428682788
MNIST_vae,8,80.69163333333333,4.955492672858265
MNIST_vae,20,79.5158166666667,4.071120012168547
MNIST_simclr_pca,6,88.21841666666668,5.934554944489894
MNIST_vae,18,80.2183333333333,4.5032918998111375
MNIST_simclr_pca,10,88.58513333333336,4.971166073035728
MNIST_simclr_pca,16,89.51524999999998,4.276768216008065
FMNIST_simclr_pca,8,59.42564999999997,2.643250196074146
MNIST_simclr_pca,20,87.44175000000004,4.803507103401041
CIFAR_simclr,16,74.93895999999998,0.3966496538241116
CIFAR_simclr,20,74.96651999999996,1.0701535666256574
CIFAR_simclr,8,77.99222,0.8877979975447364
CIFAR_simclr,18,74.95104,0.7767474521647595
CIFAR_simclr,4,79.72792000000003,2.158081619486074
CIFAR_simclr,12,74.73558000000004,1.248499585805929
FMNIST_simclr,8,58.43466666666665,2.6973665400540043
FMNIST_simclr,12,57.21476666666663,2.139256298235404
FMNIST_simclr,14,56.8824,2.262335859700664
CIFAR_simclr,14,74.78346000000002,1.029731939424385
CIFAR_simclr,10,75.35493999999997,0.0182118953245732
MNIST_simclr,4,96.20650000000022,0.9018350322341434
FMNIST_simclr,4,60.49768333333336,3.2803142548038533
FMNIST_simclr,10,58.23178333333336,2.246861138350133
FMNIST_simclr,20,57.02213333333334,2.4777874833347084
MNIST_simclr,8,96.28776666666668,0.000861314736432
MNIST_simclr,16,96.07101666666662,1.3162783149520538
MNIST_simclr,12,96.27333333333335,2.8564892751865395e-14
FMNIST_simclr,16,56.793250000000015,2.3443047779619675
FMNIST_simclr,6,60.42758333333333,2.670878149295441
MNIST_simclr,14,96.16343333333356,1.064319962249438
MNIST_simclr,20,96.25601666666672,0.0008170118833398
FMNIST_simclr,18,57.07381666666668,1.8035916171296849
MNIST_simclr,18,96.15854999999996,0.9478333333333324
MNIST_simclr,6,96.00306666666673,1.6387462653229712
MNIST_simclr_pca,14,89.37810000000002,4.293352011404049
MNIST_simclr,10,96.18715,0.9724397244440228
CIFAR_vae,18,24.930000000000003,0.317747374402046
CIFAR_simclr,6,77.77911999999999,2.00544276216581
